"Round steak, 1 kilogram",17.7,18.06,17.67,17.52,17.75,17.88,17.59,17.16,17.07,17.36,17.32
"Sirloin steak, 1 kilogram",22.39,22.34,23.06,22.96,22.65,23.38,22.17,22.17,22.42,22.17,22.43
"Prime rib roast, 1 kilogram",31.99,31.43,31.86,31.49,32.6,32.81,32.97,32.94,32.61,32.66,34.08
"Blade roast, 1 kilogram",15.61,16.2,16.02,15.42,16.15,16.66,15.34,15.75,15.62,15.1,14.68
"Stewing beef, 1 kilogram",15.26,15.61,15.45,15.25,15.68,16.02,15.5,15.55,15.58,15.46,15.51
"Ground beef, 1 kilogram",11.55,11.41,11.29,11.19,11.3,11.41,10.86,11.23,11.67,11.54,11.69
"Pork chops, 1 kilogram",12.33,12.05,11.72,11.92,12.2,12.26,12.02,11.72,12.07,11.8,11.58
"Chicken, 1 kilogram",7.52,7.5,7.29,7.44,7.52,7.52,7.72,7.39,7.44,7.55,7.36
"Bacon, 500 grams",7.28,7.06,7.12,7.01,6.96,7.07,7.14,6.99,7.04,7.37,7.34
"Wieners, 450 grams",4.43,4.5,4.33,4.49,4.28,4.33,4.34,4.34,4.28,4.83,4.68
"Canned salmon, 213 grams",5.09,5.48,5.68,5.75,5.67,5.57,5.84,5.89,5.81,5.83,5.81
"Homogenized milk, 4 litres",5.83,5.83,5.79,5.81,5.81,5.78,5.8,5.77,5.76,5.8,5.73
"Partly skimmed milk, 4 litres",5.22,5.22,5.2,5.19,5.19,5.17,5.14,5.15,5.16,5.2,5.21
"Butter, 454 grams",4.94,4.98,4.99,4.85,4.97,4.85,5.16,5.03,4.97,5.1,5.05
"Processed cheese slices, 250 grams",2.48,2.76,2.53,2.69,2.62,2.57,2.43,2.52,2.3,2.52,2.41
"Evaporated milk, 385 millilitres",1.97,1.9,1.89,1.79,1.92,1.88,2.04,1.96,1.87,1.87,1.93
"Eggs, 1 dozen",3.08,3.16,3.11,3.17,3.17,3.19,3.22,3.25,3.34,3.37,3.36
"Bread, 675 grams",2.83,2.84,2.74,2.73,2.79,2.8,2.81,2.83,2.82,2.84,2.82
"Soda crackers, 450 grams",3.31,3.24,3.27,3.27,3.35,3.35,3.36,3.47,3.4,3.4,3.39
"Macaroni, 500 grams",1.41,1.41,1.45,1.45,1.5,1.46,1.6,1.54,1.45,1.6,1.58
"Flour, 2.5 kilograms",4.72,4.64,4.54,4.34,4.65,4.74,4.52,4.58,4.62,4.37,4.35
"Corn flakes, 675 grams",5.66,5.78,5.72,5.53,5.63,5.51,5.71,5.64,5.3,5.58,5.64
"Apples, 1 kilogram",4.43,4.58,4.71,4.69,4.86,5.03,4.83,4.98,4.95,4.41,4.18
"Bananas, 1 kilogram",1.57,1.56,1.56,1.56,1.56,1.56,1.55,1.55,1.54,1.56,1.56
"Oranges, 1 kilogram",3.59,3.55,3.7,3.65,3.86,3.89,3.64,3.79,3.44,3.69,3.85
"Apple juice, 1.36 litres",2.09,2.07,2.06,2.09,2.08,2.06,2.17,2.18,2.13,2.17,2.16
"Orange juice, 1 litre",4.3,4.11,4.13,3.94,4.17,4.19,4.19,4.56,4.05,4.01,4.2
"Carrots, 1 kilogram",2.01,2.04,2.15,2.19,2.43,2.65,2.74,2.4,2.34,2.06,1.94
"Mushrooms, 1 kilogram",8.58,8.89,8.66,8.97,8.63,9.2,9.23,9.12,9.17,8.95,8.83
"Onions, 1 kilogram",2,2.11,2.19,2.27,2.47,2.62,2.77,2.78,2.42,2.26,2.16
"Potatoes, 4.54 kilograms",8.43,8.56,8.79,8.98,9.17,9.55,9.94,10.39,10.28,9.77,9.47
"French fried potatoes, frozen, 1 kilogram",2.61,2.66,2.61,2.7,2.62,2.62,2.85,2.95,3.08,3.02,3.14
"Baked beans, canned, 398 millilitres",1.2,1.27,1.23,1.27,1.28,1.2,1.31,1.29,1.19,1.38,1.19
"Tomatoes, canned, 796 millilitres",1.49,1.56,1.52,1.59,1.52,1.53,1.52,1.59,1.58,1.51,1.49
"Tomato juice, 1.36 litres",2.44,2.54,2.5,2.37,2.55,2.52,2.94,2.94,2.88,2.82,2.96
"Ketchup, 1 litre",3.64,3.72,3.66,3.58,3.53,3.57,3.52,3.6,3.67,3.66,3.65
"Sugar, white, 2 kilograms",2.61,2.48,2.59,2.53,2.56,2.5,2.5,2.49,2.52,2.44,2.45
"Coffee, roasted, 300 grams",5.33,5.51,5.39,5.35,5.3,5.38,5.1,5.02,4.86,4.91,5.02
